主题,关键词,飙升指数,关键词id,时间热度键值对
情侣,情侣id,580339,e4P-eZIBUXSdlPDbnNQp,"[('20240905', 4814.4019546864365), ('20240906', 4647.256493868451), ('20240907', 8447.22643958213), ('20240909', 7936.240837227906), ('20240910', 4869.681985606987), ('20240911', 4223.1098039215685), ('20240912', 6298.989659002085), ('20240913', 3404.284702139965), ('20240914', 4081.437529627235), ('20240915', 5043.826293941883), ('20240916', 5939.378985230457), ('20240917', 5467.006462499564), ('20240918', 7572.337895194377), ('20240919', 6011.3874715114525), ('20240920', 9635.830730431533), ('20240921', 7359.788852247969), ('20240922', 8163.2964775562605), ('20240923', 7157.256819272421), ('20240924', 6283.993699677701), ('20240925', 3507.0755173995194), ('20240926', 4483.541307146013), ('20240927', 4912.799438221625), ('20240929', 6211.452316933093), ('20241002', 9798.322010518432), ('20241003', 7832.871093693327), ('20241004', 6332.394910884596), ('20241005', 5080.651506444755), ('20241006', 8192.048296518935), ('20241007', 8223.24738447945), ('20241008', 5170.012696080458), ('20241009', 8377.072642482039), ('20241010', 6333.86445766622)]"
情侣,情侣表情包,486,uS7-eZIBxl_WZLR2mxRM,"[('20241010', 7267)]"
情侣,小情侣,1685784,C-T-eZIBgji-xPyNmpqI,"[('20240906', 24378.354638693607), ('20240907', 69366.78934012206), ('20240908', 38538.088844766855), ('20240915', 30076.073717108124), ('20240916', 40727.13510131441), ('20240917', 51479.16767519705), ('20240919', 49239.65039676221), ('20240920', 61778.32482636914), ('20240921', 39144.964416629075), ('20240922', 36807.0875971501), ('20240928', 21815.16267419805), ('20240930', 23924.375659353023), ('20241001', 44156.12352700859), ('20241002', 66770.63966547172), ('20241003', 48025.16422550026), ('20241004', 58750.344011757465), ('20241005', 45301.809522485666), ('20241006', 57477.36453576358), ('20241007', 41057.91913575661), ('20241008', 28951.37770436768), ('20241010', 33352.92418333011)]"
情侣,情侣路,867573,wdL-eZIBt-JPqn_2nURh,"[('20240905', 4133.111945385019), ('20240906', 3867.166607189246), ('20240907', 2896.097035545605), ('20240908', 1939.1983458208458), ('20240909', 2089.7734857637292), ('20240910', 2823.1873053525997), ('20240911', 3323.400788411944), ('20240912', 2445.3063471465507), ('20240914', 1835.4215895946159), ('20240915', 2478.2987092260396), ('20240916', 2420.8511621229013), ('20240917', 2406.37123525676), ('20240918', 2592.0516305675), ('20240920', 2907.2617784540303), ('20240925', 3449.3423738173924), ('20240928', 2549.111824667708), ('20241001', 31438.483565951563), ('20241002', 9990.298745264085), ('20241003', 7495.6537186000005), ('20241004', 8159.446210456434), ('20241005', 7168.233838129833), ('20241006', 3576.240454284203), ('20241007', 3476.984320618994), ('20241008', 7628.249501701252), ('20241009', 6142.691075719772), ('20241010', 3491.50086615456)]"
情侣,超甜情侣,200432,AQb-eZIBU5A0Yc-epXO2,"[('20240905', 6729.935667595494), ('20240906', 9329.227495004996), ('20240915', 7415.503844094503), ('20240918', 8690.977084227263), ('20240919', 3906.520728233049), ('20240920', 9084.541934918365), ('20240921', 4681.508862046989), ('20240922', 6467.307484532675), ('20240923', 5583.659192488134), ('20240925', 5112.619417149567), ('20240927', 5348.175256933082), ('20240928', 7046.665348024128), ('20240929', 8761.423096255598), ('20240930', 6418.232833748776), ('20241001', 8315.093816222252), ('20241004', 79202.4078019139), ('20241006', 8761.356490771706), ('20241008', 5234.536879672051), ('20241010', 6778.9659238909235)]"
情侣,情侣吃饭,1,qC7-eZIBxl_WZLR2mxeK,"[('20241010', 5909)]"
情侣,跨国情侣,67,1Ab-eZIBU5A0Yc-epnqf,"[('20241010', 6017)]"
情侣,中韩情侣,17405,qhn-eZIBgdoUXASpkysL,"[('20241009', 11833.333333333334), ('20241010', 5625.916666666667)]"
情侣,情侣拍照,126235,ti7-eZIBxl_WZLR2mxRM,"[('20240905', 4399.627688977689), ('20240906', 2318.561756540561), ('20240907', 3587.133223724273), ('20240908', 849.304049006549), ('20240909', 924.5705904467051), ('20240910', 1786.1265669515667), ('20240911', 802.7152167033746), ('20240912', 2817.2761006910605), ('20240913', 9253.581933167616), ('20240914', 2582.745325726905), ('20240915', 6047.2467676767665), ('20240916', 4052.3062229437232), ('20240917', 3482.592534888858), ('20240918', 2798.6059158445987), ('20240919', 8480.166222359809), ('20240920', 6509.939430259284), ('20240921', 5850.622999645357), ('20240922', 9578.76447975256), ('20240923', 16629.59478008774), ('20240925', 8188.043452658452), ('20240926', 6240.766135339511), ('20240927', 6216.861599282361), ('20240928', 7000.221325360338), ('20240929', 8707.584700432417), ('20240930', 5376.35272198848), ('20241001', 3157.236900308135), ('20241002', 7714.919076729529), ('20241003', 7264.697622244782), ('20241004', 6122.630987248634), ('20241005', 5059.2936627812605), ('20241006', 6136.402446715925), ('20241007', 8639.900425080596), ('20241008', 11145.528708821148), ('20241010', 12243.414832592915)]"
情侣,情侣舞蹈,4689187,CS7-eZIBxl_WZLR2mxeK,"[('20240905', 32638.09727454521), ('20240906', 20778.93015628939), ('20240907', 89102.12921515584), ('20240908', 29989.272573733797), ('20240909', 15184.311602634783), ('20240910', 26404.081559456507), ('20240911', 29237.81776254219), ('20240912', 26612.26563212457), ('20240913', 12393.732796273296), ('20240914', 14933.996273654924), ('20240915', 21475.079126773733), ('20240916', 11800.21810804832), ('20240917', 13343.330304314713), ('20240918', 98812.30777279548), ('20240919', 28205.63992054073), ('20240920', 52568.37112047541), ('20240921', 58084.39111520606), ('20240922', 30910.848470354), ('20240923', 14270.808285331608), ('20240924', 9636.555051564), ('20240925', 15990.170167448556), ('20240926', 18548.139572795608), ('20240927', 9116.99209123497), ('20240928', 14415.812390319235), ('20240929', 11791.582258502705), ('20240930', 17234.75156975816), ('20241001', 12684.573924386534), ('20241002', 26556.159659011133), ('20241003', 20140.855834215552), ('20241004', 26408.746749308848), ('20241005', 47665.89318661837), ('20241006', 29242.554324492434), ('20241007', 25546.788019311258), ('20241008', 15427.109408879354), ('20241009', 18857.69106477172), ('20241010', 44464.06374798987)]"
情侣,情侣同居,10101,BIP-eZIBUXSdlPDbnNQp,"[('20240921', 6681.536694677871), ('20240924', 8866.8), ('20241008', 5895.623555391976), ('20241010', 8510.722909933203)]"
情侣,两岸情侣,95698,-xn-eZIBgdoUXASpkyoL,"[('20240918', 6650.829131054131), ('20240927', 8814.631601731602), ('20241010', 7591.364929836669)]"
情侣,情侣睡衣,762062,ZC7-eZIBxl_WZLR2mxVM,"[('20240914', 7026.422975262829), ('20240918', 5463.757042160738), ('20240919', 5986.239067816244), ('20240920', 10739.871352612527), ('20240921', 8074.5796808160185), ('20240922', 28643.967973802934), ('20240923', 13553.299825180267), ('20240926', 17053.440015744494), ('20240927', 6695.529988257685), ('20240929', 7512.5542664825325), ('20240930', 7072.436953458028), ('20241003', 4517.02353270337), ('20241005', 10050.414153098433), ('20241007', 6200.692679642596), ('20241009', 4531.059795577334), ('20241010', 6908.211412041083)]"
情侣,情侣组合,2072,EC7-eZIBxl_WZLR2mxeK,"[('20241001', 830.9), ('20241002', 345.72727272727275), ('20241006', 419.93333333333334), ('20241010', 369.05263157894734)]"
