主题,关键词,飙升指数,关键词id,时间热度键值对
恋爱,恋爱ing,117820,-NL-eZIBt-JPqn_2nURh,"[('20240907', 9234.347472374566), ('20240920', 8852.719813680944), ('20240923', 7965.0876418434145), ('20240924', 9173.821298581592), ('20240925', 7509.6109140859135), ('20240926', 8570.10241166563), ('20240929', 8997.671206024723), ('20240930', 8042.141857173838), ('20241010', 9531.373139420155)]"
恋爱,恋爱挽回,21925,wIP-eZIBUXSdlPDbnNMp,"[('20240905', 2741.4820532408767), ('20240906', 5140.557903406624), ('20240907', 4052.682866110498), ('20240909', 3290.8194561157798), ('20240910', 3424.501509393599), ('20240911', 2531.827324590576), ('20240912', 3511.149758454106), ('20240913', 3178.6962531328318), ('20240915', 2583.51127475584), ('20240917', 2173.6480071365413), ('20240918', 3203.1832291313217), ('20240919', 5388.291229141229), ('20240921', 6682.273809523811), ('20240922', 4098.728239289446), ('20240923', 3077.2000000000003), ('20240924', 9469.111721611724), ('20240926', 4710.625), ('20240927', 3443.9755555555553), ('20240928', 2783.30303030303), ('20240929', 8179.858585858586), ('20240930', 5403.183198380566), ('20241005', 6327.2599206349205), ('20241006', 4150.36), ('20241007', 3243.3534798534797), ('20241008', 3384.9537037037035), ('20241009', 5190.478571428572), ('20241010', 8025.46264367816)]"
恋爱,想恋爱了,30243,pC7-eZIBxl_WZLR2nB75,"[('20240905', 8225.125776397515), ('20240911', 8693.882449160035), ('20241004', 7502.829824561403), ('20241009', 9920.590572390573), ('20241010', 9788.378917378917)]"
恋爱,恋爱搭子,10094,9y7-eZIBxl_WZLR2mxRM,"[('20240913', 5450.932962962963), ('20241003', 5328.5), ('20241010', 6710.666666666667)]"
恋爱,恋爱军师,864406,qIP-eZIBUXSdlPDbm89M,"[('20240906', 9084.580290053085), ('20240907', 7091.2070520320285), ('20240908', 8331.50314232551), ('20240909', 6664.911852986197), ('20240910', 9308.800699996593), ('20240912', 9080.358046646046), ('20240914', 9377.092586049628), ('20240915', 9645.283745143743), ('20240917', 9068.773697526729), ('20240918', 8887.613187272611), ('20240920', 16061.376999650083), ('20240921', 15695.800154000173), ('20240925', 14875.717269701228), ('20240926', 19785.906735281875), ('20240927', 16101.320666571413), ('20240928', 16461.308858098484), ('20240929', 13725.967551687485), ('20240930', 13541.837086318797), ('20241001', 11898.978916743123), ('20241002', 22341.635874173666), ('20241003', 16778.4950772648), ('20241004', 14525.00690167645), ('20241005', 12689.276134084013), ('20241006', 18583.24613916488), ('20241007', 23628.302100457313), ('20241008', 16209.10229221362), ('20241009', 17562.024764281417), ('20241010', 14271.703254817106)]"
恋爱,恋爱小水,35887,9dL-eZIBt-JPqn_2nUNh,"[('20240913', 7251.075757575757), ('20240922', 8582.4), ('20240924', 4947.571928071928), ('20240929', 8248.757560568087), ('20241001', 3926.0074190177643), ('20241010', 4143.606565656565)]"
恋爱,烟台恋爱,23,8pj-eZIB-JDbKjAEoduk,"[('20241009', 889), ('20241010', 1543)]"
恋爱,恋爱经验,0,yi7-eZIBxl_WZLR2nBon,"[('20241010', 1554)]"
恋爱,要恋爱吗,79692,tAb-eZIBU5A0Yc-epXTa,"[('20240908', 64086.76190476191), ('20240916', 8616.990492840494), ('20240917', 9346.161273448773), ('20240918', 7126.965303487363), ('20240920', 6944.28921341816), ('20240921', 6147.420994283493), ('20240922', 4875.454260118967), ('20240923', 4234.077959703694), ('20240924', 6313.44688261739), ('20240925', 6058.69503665839), ('20240926', 5504.856876399316), ('20240927', 8231.52526128842), ('20240928', 5962.865347549233), ('20240929', 9692.153417717549), ('20240930', 6068.579129065264), ('20241001', 3500.7317335321677), ('20241006', 9766.994913096789), ('20241008', 6154.714111265491), ('20241009', 7947.889093377887), ('20241010', 6476.236839917088)]"
恋爱,谈恋爱吧,1293,nIP-eZIBUXSdlPDbp9i8,"[('20241010', 7407)]"
