主题,关键词,飙升指数,关键词id,时间热度键值对
夫妻,夫妻宫,55070,Aqb-eZIB3eaiQywKmVaj,"[('20240908', 1363.5), ('20240909', 928), ('20240911', 2149.074675324675), ('20240912', 1175.0166666666667), ('20240913', 1876.0714285714287), ('20240914', 1950.677030812325), ('20240916', 1442.42), ('20240921', 1497.381313131313), ('20240923', 1390.6615384615384), ('20240924', 1636.4217615717616), ('20240925', 1217.1714285714286), ('20240927', 1285.296288515406), ('20241006', 1569.4084249084249), ('20241010', 1448.9193362193362)]"
夫妻,夫妻店,313692,Wab-eZIB3eaiQywKmVSj,"[('20240905', 7474.764725485542), ('20240909', 7624.213414069688), ('20240910', 8299.347262843165), ('20240911', 6621.674049201645), ('20240912', 6048.424250162112), ('20240913', 9392.384376261201), ('20240914', 5990.158497783558), ('20240917', 7078.372682612285), ('20240918', 7821.393557647342), ('20240920', 8369.60745116539), ('20240921', 7127.746839410466), ('20240922', 6453.201498273016), ('20240924', 6982.783158281198), ('20240926', 9636.849700221805), ('20240927', 9669.045097782315), ('20240928', 9569.534355355345), ('20240929', 9972.92338244564), ('20240930', 6786.402267604014), ('20241006', 6487.616215005787), ('20241007', 9057.107036729376), ('20241008', 6700.186206375325), ('20241010', 9631.273680232178)]"
夫妻,夫妻房,4327,zCL-eZIB3sk1SQNgmBTj,"[('20240905', 768.9166666666666), ('20240906', 632.9578754578755), ('20240907', 641.9547619047619), ('20240908', 657.8888888888889), ('20240909', 747.9857142857143), ('20240910', 783.8333333333334), ('20240911', 258.66666666666663), ('20240912', 485.15), ('20240913', 406.44444444444446), ('20240914', 405.42857142857144), ('20240915', 371.625), ('20240916', 151.33333333333334), ('20240917', 331), ('20240918', 1026.5), ('20240919', 1370.105718842561), ('20240920', 1240.7083333333333), ('20240921', 601.5769230769231), ('20240922', 562.5952380952382), ('20240923', 607.425), ('20240924', 846.1666666666666), ('20240925', 434.5), ('20240926', 355.25), ('20240928', 1314.0625), ('20240929', 988.1964164976335), ('20240930', 1135.8833333333332), ('20241001', 746.5578947368421), ('20241002', 1418.4833333333333), ('20241003', 1151.952380952381), ('20241004', 1295.7857142857142), ('20241005', 2144.2028985507245), ('20241006', 1860.3055555555557), ('20241007', 1888.5666666666666), ('20241008', 1778.0064102564104), ('20241009', 962.910052910053), ('20241010', 433.5)]"
夫妻,老夫妻,86167,QOT-eZIBgji-xPyNpp4R,"[('20240913', 40492.28659430439), ('20240915', 5427.661226014357), ('20240916', 4770.502460478118), ('20240917', 9547.264014146773), ('20240919', 8183.936183839046), ('20241009', 5075.452861952863), ('20241010', 8966.22619047619)]"
夫妻,两夫妻,16317,kxn-eZIBgdoUXASpky4T,"[('20241008', 2583.9503459886214), ('20241009', 4874.330136530136), ('20241010', 1866.2416958265235)]"
夫妻,夫妻组合,35426,oSL-eZIB3sk1SQNgmBPi,"[('20240905', 5715.641318355973), ('20240906', 6380.765030523016), ('20240907', 5180.981285863895), ('20240908', 7213.318580652085), ('20240909', 6821.7955628032105), ('20240910', 5447.796442946833), ('20240911', 3595.292368551927), ('20240912', 6446.935918818894), ('20240913', 5793.523394467588), ('20240914', 4623.094143570687), ('20240915', 6496.9177468816015), ('20240916', 7301.0666119321295), ('20240917', 9210.919400190456), ('20240918', 5898.240814705328), ('20240920', 8658.472662993896), ('20240922', 7404.535593502358), ('20240923', 5484.482142160455), ('20240924', 5358.946832816941), ('20240925', 6735.711633971658), ('20240926', 5305.770434565435), ('20240927', 4629.526342565655), ('20240928', 4318.573292633292), ('20240929', 5134.912827080326), ('20240930', 5470.02080532769), ('20241001', 6006.952256865045), ('20241002', 3387.7407904834627), ('20241003', 4222.017999985139), ('20241004', 4292.361072261072), ('20241005', 6917.465952481472), ('20241006', 5604.6970799305855), ('20241007', 7759.510011441648), ('20241008', 2833.55617102196), ('20241009', 3144.6946576491146), ('20241010', 6233.867660172466)]"
夫妻,夫妻恩爱,140128,GKb-eZIB3eaiQywKmVSj,"[('20240917', 28614.08974137931), ('20240918', 10531.879638009048), ('20240919', 3223.7962962962965), ('20240926', 3848.402857142857), ('20240927', 7853.842657342657), ('20240928', 3262.7777777777783), ('20241002', 2367.9922619047616), ('20241003', 3226.080882352941), ('20241004', 3435.676984126984), ('20241005', 3019.6005847953215), ('20241006', 4843.095021645023), ('20241007', 3377.4623376623385), ('20241008', 4014.941974691974), ('20241009', 6483.551449275363), ('20241010', 7072.03253968254)]"
夫妻,夫妻的床,3,7SL-eZIB3sk1SQNgmAqJ,"[('20241009', 5815), ('20241010', 5765.666666666667)]"
夫妻,夫妻矛盾,9019,FSL-eZIB3sk1SQNgmAyK,"[('20240905', 2281.931220007197), ('20240906', 1775.0712738185368), ('20240907', 1903.952634693331), ('20240908', 779.211655337329), ('20240909', 1010.9294932844933), ('20240910', 1061.5470505909323), ('20240911', 2569.659860654741), ('20240912', 804.6092542131759), ('20240913', 790.6104748779566), ('20240914', 984.6611364938514), ('20240915', 821.5283616967828), ('20240916', 1548.2275682034726), ('20240917', 1469.4821238378872), ('20240918', 816.6485855332405), ('20240919', 1081.9435276339925), ('20240920', 1560.2881093074254), ('20240921', 1295.7982961190855), ('20240923', 1362.1725723350723), ('20240924', 1069.2346673278564), ('20240925', 1493.0709870256348), ('20240926', 668.4281115155235), ('20240927', 755.3650089126559), ('20240928', 911.2028197546161), ('20241003', 757.9323205176465), ('20241004', 926.0737603103535), ('20241005', 709.8833797958222), ('20241007', 2059.4825680167783), ('20241008', 3280.2827455843294), ('20241009', 2945.015063693537), ('20241010', 752.8640036923861)]"
夫妻,患难夫妻,22608,z4P-eZIBUXSdlPDbmsiq,"[('20240905', 7748.045641303907), ('20240906', 6281.73992034994), ('20240907', 4899.622421555626), ('20240908', 5860.651856190494), ('20240909', 7091.307413510371), ('20240911', 7606.5140789174975), ('20240912', 3642.7343689180907), ('20240913', 4304.430677555433), ('20240914', 5771.580355742285), ('20240915', 5025.607400670098), ('20240916', 7820.191367374511), ('20240917', 4671.026475169081), ('20240918', 2914.778852372955), ('20240919', 2175.7038880388004), ('20240920', 3019.535782729377), ('20240921', 4693.995464791668), ('20240922', 6844.240613229031), ('20240924', 9292.518675352718), ('20240925', 4372.276886598134), ('20240926', 6010.738331522943), ('20240927', 4111.55546330684), ('20240928', 2816.2369266571063), ('20240929', 2271.27787091004), ('20240930', 2237.7736424623363), ('20241001', 5390.26404777531), ('20241002', 2652.888487931142), ('20241003', 7680.768691703481), ('20241004', 4296.968102949061), ('20241005', 4414.522150037537), ('20241006', 3492.2228175536166), ('20241007', 6059.647843583743), ('20241008', 4280.8378644773475), ('20241009', 3212.7800263240833), ('20241010', 5368.964053599953)]"
夫妻,一夫多妻,119308,yJj-eZIB-JDbKjAEkrgh,"[('20240926', 8674.5), ('20241001', 4770.733333333334), ('20241010', 9372.824999999999)]"
夫妻,农村夫妻,523480,Nif-eZIBmV5X-ep3lZd5,"[('20240910', 8675.621108118463), ('20240917', 6585.930347629094), ('20240918', 8817.879960134806), ('20240926', 28340.71493318726), ('20240927', 37502.1924000624), ('20241002', 8158.115475867226), ('20241003', 5690.264480176675), ('20241004', 8335.058372318157), ('20241005', 8173.474678821694), ('20241006', 7019.711078344009), ('20241008', 21443.457998982503), ('20241009', 9690.227962935074), ('20241010', 7832.864717990699)]"
