主题,关键词,飙升指数,关键词id,时间热度键值对
婆媳,婆媳生活,110575,FOT-eZIBgji-xPyNmYxO,"[('20240909', 5886.774453544965), ('20240911', 6782.190464403402), ('20240917', 6382.772893519211), ('20240925', 7792.035102427423), ('20241003', 8374.506050821872), ('20241004', 8684.902046009549), ('20241010', 7471.14521034521)]"
婆媳,婆媳相处,71373,HyL-eZIB3sk1SQNgmRq5,"[('20240905', 3456.849959824189), ('20240913', 2722.759072871573), ('20240915', 3770.4381574095128), ('20240918', 2658.8787718104645), ('20240925', 3018.9510899278803), ('20240926', 5580.965334323025), ('20240927', 3167.900613562639), ('20240928', 4139.0949877365465), ('20240929', 5355.11469952161), ('20241002', 3277.461601974702), ('20241003', 3806.0040285734094), ('20241004', 3441.550914107679), ('20241005', 3350.1036082846726), ('20241006', 5462.654712415241), ('20241007', 5274.9117127950985), ('20241008', 5717.738989803299), ('20241009', 5847.818673713352), ('20241010', 6792.683557591645)]"
婆媳,婆媳问题,598,YuT-eZIBgji-xPyNmZPI,"[('20240905', 591.0555555555555), ('20240906', 868.7166666666666), ('20240907', 1271.0378787878788), ('20240908', 1699.5666666666666), ('20240909', 1900.7), ('20240910', 432.98333333333335), ('20240912', 687.4976190476191), ('20240918', 600.3666666666667), ('20240919', 705.9909090909091), ('20240923', 1093.5666666666666), ('20240924', 3741.2438186813188), ('20240925', 1407.9847494553378), ('20240926', 729.5436507936507), ('20240927', 796.909351296012), ('20240929', 610.2904761904762), ('20241010', 530.6794871794872)]"
婆媳,儿媳妇与婆婆,6480,Deb-eZIBqpAnTjMolftm,"[('20240905', 3549.369841269841), ('20240906', 2031.1530693444486), ('20240908', 3782.7714087809036), ('20240909', 3105.388291902456), ('20240910', 2879.4788223008504), ('20240911', 2969.8119915172542), ('20240912', 2759.4513187835555), ('20240913', 4194.051098181917), ('20240914', 3270.8786702011967), ('20240915', 3111.9049755812457), ('20240916', 3241.5577122153204), ('20240918', 4152.505717245716), ('20240919', 3690.301928244169), ('20240920', 4302.24021259148), ('20240921', 3012.99636815292), ('20240922', 5822.100481702207), ('20240923', 3340.5499134199135), ('20240924', 5209.862117539324), ('20240925', 5628.856559290382), ('20240926', 5194.391165413534), ('20240927', 4508.266374269006), ('20240928', 3875.141687105464), ('20240929', 6206.703860028859), ('20240930', 4822.432743648419), ('20241001', 3508.6098303870044), ('20241003', 2616.309858197358), ('20241004', 4538.620608286048), ('20241005', 4624.347841145782), ('20241006', 2985.3594883414517), ('20241007', 3047.766904941702), ('20241008', 3643.9440846806565), ('20241009', 5357.613081363081), ('20241010', 9650.821686830837)]"
婆媳,婆媳情感,784,JCL-eZIB3sk1SQNgmRq5,"[('20240906', 630.8333333333333), ('20240907', 759.4), ('20240908', 513.1363636363636), ('20240910', 490.71153846153845), ('20240912', 1695.047619047619), ('20240913', 1645.125), ('20240915', 560.75), ('20240916', 4127.631578947368), ('20240917', 4265.133333333333), ('20240918', 4857.214285714285), ('20240919', 2433.6000000000004), ('20240920', 2378.6166666666663), ('20240921', 1785.7619047619048), ('20240922', 3419.559523809524), ('20240923', 7372.666666666667), ('20240924', 3857.9999999999995), ('20240925', 1906.1), ('20240927', 753.5238095238095), ('20240928', 510.53361344537814), ('20241009', 684.2222222222222), ('20241010', 513.5)]"
婆媳,婆婆媳妇那些事,52827,YIP-eZIBUXSdlPDbmsJk,"[('20240906', 4909.399797817791), ('20240908', 7985.953672907768), ('20240910', 8554.764269026222), ('20240912', 4274.759623336589), ('20240913', 6082.443362052056), ('20240915', 6446.434015601629), ('20240917', 6099.652719548037), ('20240919', 7069.65716298133), ('20240920', 7752.132488460233), ('20240921', 8738.73968150992), ('20240922', 7915.436825780795), ('20240923', 5410.378438127837), ('20240924', 5984.168547493117), ('20240925', 5263.720262479579), ('20240926', 9957.348923397674), ('20240927', 6226.8235891016275), ('20240928', 8573.551253309488), ('20240930', 4232.859511071553), ('20241002', 6605.653170480278), ('20241004', 3827.961611336128), ('20241006', 5631.20274679751), ('20241007', 5898.360816664317), ('20241008', 3670.844642142401), ('20241009', 7629.982503036117), ('20241010', 7176.821536355843)]"
婆媳,婆媳的生活,7948,5iL-eZIB3sk1SQNgmBTj,"[('20240905', 25738.60544749028), ('20240930', 9867.80199014989), ('20241006', 12271.005681818186), ('20241008', 7789.519245125881), ('20241009', 12170.86549545226), ('20241010', 12105.675885727338)]"
婆媳,婆媳关系好,0,quT-eZIBgji-xPyNmYtO,"[('20241009', 3845), ('20241010', 1305.5)]"
婆媳,处理婆媳关系,2,QTz-eZIBeAB8871NmEEa,"[('20241009', 7520.625), ('20241010', 5544.222222222223)]"
婆媳,婆婆,27767080,XYP-eZIBUXSdlPDbmsJk,"[('20240905', 1777089.9774905425), ('20240906', 1856950.2902772008), ('20240907', 1745400.7154145385), ('20240908', 1972499.9132781667), ('20240909', 1988681.2396167873), ('20240910', 1888267.3985085173), ('20240911', 1947114.5536307194), ('20240912', 1817134.1928047163), ('20240913', 1619675.931309765), ('20240914', 3316359.040542585), ('20240915', 1726075.2112961777), ('20240916', 1840777.1235422024), ('20240917', 1888592.3062224044), ('20240918', 1896107.4850191232), ('20240919', 2120288.92360026), ('20240920', 1981263.363730865), ('20240921', 1667813.2592093227), ('20240922', 1540811.1499149688), ('20240923', 1637072.7504529099), ('20240924', 1693898.8354698203), ('20240925', 1645364.5743873655), ('20240926', 1670189.105768413), ('20240927', 1759684.5841028427), ('20240928', 1707563.5398802247), ('20240929', 1688486.4485381448), ('20240930', 1667996.784485626), ('20241001', 1321517.0545483544), ('20241002', 1336852.4119831014), ('20241003', 1383809.4629435777), ('20241004', 1533098.6520802276), ('20241005', 1603418.9044073634), ('20241006', 1585669.316217682), ('20241007', 1472580.6231339106), ('20241008', 1726103.981499297), ('20241009', 1618577.9780341352), ('20241010', 1629232.4756585935)]"
婆媳,婆媳相处之道,8400,ICL-eZIB3sk1SQNgmRq5,"[('20240905', 5547.181796308267), ('20240906', 6120.772538228884), ('20240907', 3656.386588128074), ('20240908', 4511.338568010937), ('20240909', 4625.705283094099), ('20240910', 6174.7716727716725), ('20240911', 6393.867243867245), ('20240912', 4335.181720059565), ('20240913', 4503.871289005114), ('20240914', 4013.630927318296), ('20240915', 2904.1255411255415), ('20240916', 2379.7767622833985), ('20240918', 5063.01442102209), ('20240919', 3525.6432398699635), ('20240920', 4754.100554880849), ('20240921', 4170.629951584364), ('20240922', 4938.245568369252), ('20240923', 4078.109234625024), ('20240924', 2870.2101859094255), ('20240925', 8505.611904761905), ('20240926', 6414.413986150016), ('20240927', 3852.671547406841), ('20240928', 4232.457459826036), ('20240929', 8160.7736044657095), ('20240930', 3515.0262786412677), ('20241002', 2134.6415395715394), ('20241003', 2506.4706243032333), ('20241004', 3642.502312224812), ('20241005', 2985.14356902901), ('20241007', 2654.1367197373775), ('20241008', 2887.4506101714733), ('20241009', 3351.5931581828136), ('20241010', 3567.8877876509455)]"
婆媳,做婆婆,18,aOb-eZIBqpAnTjMolPK7,"[('20240930', 702.9856459330144), ('20241008', 739.2105263157895), ('20241010', 1072.8333333333333)]"
婆媳,好婆婆,81850,MCL-eZIB3sk1SQNgmRq5,"[('20240908', 8322.023302331447), ('20240911', 9760.006363296146), ('20240912', 8129.9458362340665), ('20240913', 7951.9006926109705), ('20240914', 9197.31423190638), ('20240915', 8440.818800383446), ('20240917', 6323.569163325308), ('20240920', 9901.622731575144), ('20240921', 9406.848913673815), ('20240925', 9357.696528594848), ('20241003', 6814.656277903309), ('20241004', 6732.4642447562555), ('20241005', 8612.086222710866), ('20241006', 9289.36796186297), ('20241007', 7687.785458651463), ('20241010', 8403.019538810788)]"
婆媳,婆婆妈,90204,2iL-eZIB3sk1SQNgmA2K,"[('20240905', 4985.622973597235), ('20240906', 5078.1442918192915), ('20240907', 7167.078538587851), ('20240908', 7492.683690925934), ('20240909', 8038.7798366689685), ('20240911', 5524.515883497645), ('20240912', 5706.276554731818), ('20240913', 5785.69800976801), ('20240914', 6327.566537351537), ('20240915', 5648.646127946128), ('20240916', 7361.143496678086), ('20240918', 6999.396691729323), ('20240921', 5599.07722942766), ('20240922', 4422.4662708197675), ('20240923', 5328.013201433406), ('20240926', 5651.518481244057), ('20240929', 5174.083429233186), ('20240930', 8389.211861471862), ('20241001', 5844.2419341527675), ('20241002', 7252.732703463504), ('20241003', 6011.4309808612425), ('20241007', 5851.092341591931), ('20241008', 5371.18781038126), ('20241010', 6734.620021425942)]"
